file,scene,score,is_fp,brightness,contrast,faces,screen_rect
office_colleagues_conversation/office_colleagues_conversation_0024_4343205.jpeg,office_colleagues_conversation,0.9219,1,0.6117,0.2862,0,0
office_colleagues_conversation/office_colleagues_conversation_0010_4343207.jpeg,office_colleagues_conversation,0.9102,1,0.6157,0.3125,0,0
office_colleagues_conversation/office_colleagues_conversation_0030_7432116.jpeg,office_colleagues_conversation,0.8984,1,0.7474,0.1965,0,0
family_home_living_room/family_home_living_room_0022_8120951.jpeg,family_home_living_room,0.8828,1,0.7223,0.1773,0,1
office_colleagues_conversation/office_colleagues_conversation_0027_7845080.jpeg,office_colleagues_conversation,0.8789,1,0.5424,0.3643,1,0
coworkers_standing_meeting/coworkers_standing_meeting_0006_7653572.jpeg,coworkers_standing_meeting,0.8594,1,0.7476,0.2429,0,1
people_meeting_room_talking/people_meeting_room_talking_0017_6950047.jpeg,people_meeting_room_talking,0.8477,1,0.5993,0.3157,0,0
office_colleagues_conversation/office_colleagues_conversation_0028_7432114.jpeg,office_colleagues_conversation,0.8125,1,0.6712,0.2395,0,0
office_colleagues_conversation/office_colleagues_conversation_0012_8204404.jpeg,office_colleagues_conversation,0.7969,1,0.7328,0.2363,0,1
office_colleagues_conversation/office_colleagues_conversation_0023_7964185.jpeg,office_colleagues_conversation,0.7891,1,0.57,0.2184,1,0
people_meeting_room_talking/people_meeting_room_talking_0019_6950093.jpeg,people_meeting_room_talking,0.7812,1,0.5016,0.3575,0,1
office_colleagues_conversation/office_colleagues_conversation_0014_7495168.jpeg,office_colleagues_conversation,0.7773,1,0.6464,0.2044,1,1
family_home_living_room/family_home_living_room_0006_8120953.jpeg,family_home_living_room,0.7461,1,0.6703,0.2066,0,0
coworkers_standing_meeting/coworkers_standing_meeting_0024_7652461.jpeg,coworkers_standing_meeting,0.7266,1,0.5583,0.2417,0,1
family_home_living_room/family_home_living_room_0025_8120623.jpeg,family_home_living_room,0.7266,1,0.6591,0.1757,0,0
coworkers_standing_meeting/coworkers_standing_meeting_0021_7993566.jpeg,coworkers_standing_meeting,0.707,1,0.649,0.2125,0,0
people_meeting_room_talking/people_meeting_room_talking_0009_7644014.jpeg,people_meeting_room_talking,0.6992,1,0.6335,0.2571,0,0
