path,label,source,subclass,split
negative_clean/elderly_people_park_bench/elderly_people_park_bench_0016_9891919_c78a9b45.png,0,negative_clean,elderly_people_park_bench,train
negative_clean/live_concert_audience_crowd/live_concert_audience_crowd_0016_952422_ec94f37d.png,0,negative_clean,live_concert_audience_crowd,train
negative_clean/hair_salon_stylist_client/hair_salon_stylist_client_0031_8834092_bb546c4d.png,0,negative_clean,hair_salon_stylist_client,train
negative_clean/friends_hiking_trail_outdoor/friends_hiking_trail_outdoor_0014_5064924_41188e27.png,0,negative_clean,friends_hiking_trail_outdoor,train
negative_clean/food_photography/food_photography_0072_31846709_72d0fe11.png,0,negative_clean,food_photography,train
negative_clean/people_portrait/people_portrait_0077_31765800_13af8901.png,0,negative_clean,people_portrait,train
negative_clean/people_working_out_gym_fitness/people_working_out_gym_fitness_0008_11183203_dc440da8.png,0,negative_clean,people_working_out_gym_fitness,train
negative_clean/city_street_view/city_street_view_0034_23938418_5d0dadef.png,0,negative_clean,city_street_view,train
negative_clean/elderly_people_park_bench/elderly_people_park_bench_0013_10339902_ed2dbd3d.png,0,negative_clean,elderly_people_park_bench,train
negative_clean/nature_landscape/nature_landscape_0018_16159994_9f45e00a.png,0,negative_clean,nature_landscape,train
negative_clean/office_interior/office_interior_0077_26966417_f65ebb14.png,0,negative_clean,office_interior,train
negative_clean/shoppers_walking_mall_interior/shoppers_walking_mall_interior_0016_9657110_b7896809.png,0,negative_clean,shoppers_walking_mall_interior,train
negative_clean/people_waiting_bus_stop/people_waiting_bus_stop_0026_34656192_2568bc0a.png,0,negative_clean,people_waiting_bus_stop,train
negative_clean/crowd_watching_sports_stadium_spectators/crowd_watching_sports_stadium_spectators_0035_31744922_a63a8067.png,0,negative_clean,crowd_watching_sports_stadium_spectators,train
negative_clean/nature_landscape/nature_landscape_0055_12865542_71264d11.png,0,negative_clean,nature_landscape,train
negative_clean/hair_salon_stylist_client/hair_salon_stylist_client_0014_3992873_b4dd835a.png,0,negative_clean,hair_salon_stylist_client,train
negative_clean/live_concert_audience_crowd/live_concert_audience_crowd_0006_36675302_fa3f06c6.png,0,negative_clean,live_concert_audience_crowd,train
negative_clean/people_commuting_subway_station/people_commuting_subway_station_0023_1047330_208c44a9.png,0,negative_clean,people_commuting_subway_station,train
negative_clean/construction_workers_site_outdoor/construction_workers_site_outdoor_0013_11293626_1e56a7f6.png,0,negative_clean,construction_workers_site_outdoor,train
negative_clean/crowd_watching_sports_stadium_spectators/crowd_watching_sports_stadium_spectators_0030_34649364_c4c33c74.png,0,negative_clean,crowd_watching_sports_stadium_spectators,train
negative_clean/people_working_out_gym_fitness/people_working_out_gym_fitness_0035_13885346_37f4b479.png,0,negative_clean,people_working_out_gym_fitness,train
negative_clean/street_photography_pedestrians_candid/street_photography_pedestrians_candid_0024_28763113_611fa880.png,0,negative_clean,street_photography_pedestrians_candid,train
negative_clean/crowd_watching_sports_stadium_spectators/crowd_watching_sports_stadium_spectators_0017_10458422_6a9ce9ee.png,0,negative_clean,crowd_watching_sports_stadium_spectators,train
negative_clean/coworking_space_interior/coworking_space_interior_0025_7651639_511d8f7b.png,0,negative_clean,coworking_space_interior,train
negative_clean/food_photography/food_photography_0052_18174664_68ac2341.png,0,negative_clean,food_photography,train
negative_clean/people_portrait/people_portrait_0049_5823558_06b5b981.png,0,negative_clean,people_portrait,train
negative_clean/nature_landscape/nature_landscape_0076_2384549_45554ee9.png,0,negative_clean,nature_landscape,train
negative_clean/city_street_view/city_street_view_0015_2093329_83f855b5.png,0,negative_clean,city_street_view,train
negative_clean/city_street_view/city_street_view_0004_30224391_b8ca1a12.png,0,negative_clean,city_street_view,train
negative_clean/modern_office_workspace/modern_office_workspace_0007_36123565_94c7b614.png,0,negative_clean,modern_office_workspace,train
negative_clean/passengers_inside_bus_train_interior/passengers_inside_bus_train_interior_0010_11758757_1f81f16b.png,0,negative_clean,passengers_inside_bus_train_interior,train
negative_clean/live_concert_audience_crowd/live_concert_audience_crowd_0028_5152573_84e3362d.png,0,negative_clean,live_concert_audience_crowd,train
negative_clean/people_commuting_subway_station/people_commuting_subway_station_0025_14806117_60a93169.png,0,negative_clean,people_commuting_subway_station,train
negative_clean/nature_landscape/nature_landscape_0075_35797356_9382ea4d.png,0,negative_clean,nature_landscape,train
negative_clean/street_photography_pedestrians_candid/street_photography_pedestrians_candid_0011_29300399_de2c3d72.png,0,negative_clean,street_photography_pedestrians_candid,train
negative_clean/nature_landscape/nature_landscape_0036_830500_5305ab4b.png,0,negative_clean,nature_landscape,train
negative_clean/people_waiting_bus_stop/people_waiting_bus_stop_0031_7448845_24e0b42d.png,0,negative_clean,people_waiting_bus_stop,train
negative_clean/coworking_space_interior/coworking_space_interior_0020_34862868_34d209a3.png,0,negative_clean,coworking_space_interior,train
negative_clean/outdoor_festival_crowd_daytime/outdoor_festival_crowd_daytime_0013_15658300_a36b5de4.png,0,negative_clean,outdoor_festival_crowd_daytime,train
negative_clean/hair_salon_stylist_client/hair_salon_stylist_client_0006_20309789_a17395b3.png,0,negative_clean,hair_salon_stylist_client,train
negative_clean/people_portrait/people_portrait_0057_27665348_644b6714.png,0,negative_clean,people_portrait,train
negative_clean/people_working_out_gym_fitness/people_working_out_gym_fitness_0018_14623748_f60b2492.png,0,negative_clean,people_working_out_gym_fitness,train
negative_clean/city_street_view/city_street_view_0057_17131936_b97849d6.png,0,negative_clean,city_street_view,train
negative_clean/crowd_watching_sports_stadium_spectators/crowd_watching_sports_stadium_spectators_0021_15362144_6da13691.png,0,negative_clean,crowd_watching_sports_stadium_spectators,train
negative_clean/people_portrait/people_portrait_0078_10510382_1b80e57e.png,0,negative_clean,people_portrait,train
negative_clean/passengers_inside_bus_train_interior/passengers_inside_bus_train_interior_0035_26845370_bd929cbf.png,0,negative_clean,passengers_inside_bus_train_interior,train
